0,0,abacus,balls used for calculating
0,0,abate,"	to lessen subside"
0,0,abdication,formal relinquishing of power or authority; resignation
0,0,aberration,"	straying away from what is natural or normal; deviation"
0,0,abet,"	to help encourage someone in wrongdoing"
0,0,abeyance,"	suspended action; temporary inactivity"
0,0,abhor,"	to hate detest"
0,0,abide,"	to be faithful; to endure"
0,0,abjure,"	to promise or swear to give up"
0,0,abraded,"	rubbed off worn away by friction"
0,0,abrogate,"	to repeal or annul by authority"
0,0,abscond,"	to go away suddenly (to avoid arrest)"
0,0,abstruse,"	difficult to comprehend; obscure"
0,0,abut,"	to border on"
2,2,abysmal,"	bottomless; profoundly extremely bad"
0,0,acarpous,"	effete; worn out; sterile; no longer fertile"
0,0,acclaimed,"	welcomed with shouts and approval"
0,0,accolade,"	praise approval"
0,0,accretion,"	the growing of separate things into one; an addition"
0,0,adamant,"	kind of stone; inflexible"
0,0,admonitory,"	containing a warning; tending to admonish"
0,0,adorn,"	add beauty to; decorate"
0,0,adulteration,"	making impure or poorer in quality"
0,0,affable,"	polite and friendly"
1,1,affinity,"	a natural liking for something; an inherent similarity"
0,0,aggravate,"	to make worse; to irritate"
0,0,agile,"	active quick-moving well-coordinated"
0,0,agog,"	eager/excited"
0,0,ail,"	to cause pain or trouble to; to be ill"
0,0,alacrity,"	eager and cheerful readiness"
2,2,alcove,"	recessed part of a room; partially enclosed space"
0,0,allegiance,"	duty support loyalty"
0,0,alleviate,"	to make (pain) easier to bear"
0,0,alloy,"	to debase by mixing with something inferior; a mixture of two or more metals"
0,0,aloof,"	reserved seemingly indifferent"
0,0,amalgamate,"	mix combine unite"
0,0,ambidextrous,"	able to use the left hand and the right equally well"
0,0,ambiguous,"	doubtful uncertain; having several possible meanings or explanations"
0,0,ambivalent,"	having both of two contrary desires; uncertain; unable to make a decision"
0,0,ameliorate,"	to improve make better"
0,0,amortize,"	to end (a debt) by making periodic payments"
0,0,anguish,"	severe suffering"
1,1,animosity,"	strong dislike"
0,0,antidote,"	medicine used against a poison or a disease"
0,0,antithetical,"	directly opposed; opposite"
0,0,apartheid,"	brutal racial discrimination"
0,0,aplomb,"	self-confidence"
0,0,apostate,"	one who abandons long-held religious or political convictions"
0,0,apotheosis,"	deification glorification of a person to the rank of a God; the highest point of something"
0,0,appease,"	to make quiet or calm; to soothe pacify"
0,0,apprehensive,"	anxious or nervous about future happenings; perceptive"
0,0,apprise,"	to give notice; to inform"
0,0,approbation,"	approval"
0,0,apropos,"	appropriate to the situation apt pertinent"
0,0,apt,"	well-suited;appropriate; able to learn quickly"
0,0,arabesque,"	a complex ornate design; a ballet pose; a short musical piece"
0,0,arboreal,"	of or having to do with trees"
0,0,ardor,"	enthusiasm; passion; great warmth"
0,0,arduous,"	requiring much exertion; laborious; difficult to climb"
0,0,argot,"	jargon slang"
0,0,arrogance,"	proud superior manner of behaviour "
0,0,articulate,"	speak distinctly connect by joints "
0,0,ascend,"	go or come up "
0,0,ascertain,"	get to know "
0,0,ascetic,"	practicing self-denial austere stark "
0,0,ascribe,"	consider to be the origin of or belonging to "
0,0,aseptic,"	surgically clean "
0,0,asperity,"	roughness harshness ill temper irritability "
0,0,aspersion,"	slander"
0,0,assail,"	with attack violently "
0,0,assiduous,"	diligent hard-working sedulous "
0,0,assuage,"	make smth (pain desire) less "
0,0,asterisk,"	the mark * (e.g.. omitted letters) "
0,0,astringent,"	substance that shrinks "
0,0,astute,"	clever quick at seeing to get an advantage "
0,0,atonement,"	repayment death of Jesus "
0,0,attenuate,"	make thin. weaken enervate "
0,0,attune,"	bring into harmony "
0,0,audacious,"	daring foolishly bold impudent "
0,0,augury,"	omen sign "
0,0,august,"	majestic venerable "
0,0,auspicious,"	favorable successful prosperous "
0,0,austere,"	severely moral and strict simple and plain "
0,0,auxiliary,"	helping supporting "
0,0,aver,"	affirm assert prove justify "
0,0,aversion,"	strong dislike "
0,0,avid,"	eager greedy "
0,0,avow,"	admit. Declare openly "
0,0,baleful,"	harmful ominous causing evil "
0,0,balk,"	obstacle purposely to get on the way of "
0,0,baneful,"	causing harm or ruin pernicious destructive "
0,0,barrage,"	artificial obstacle built across a river "
0,0,barren,"	not good enough unable to have young ones without value "
0,0,bask,"	in enjoy warmth and light "
